doy,plot,rep,treatment,planting,row,herbicide,tillage,test,c1,c2,c3,cavg
123,101,1,1,early,15,yes,yes,TE,0,0,0,0
123,102,1,2,early,15,yes,no,NEY,0,0,0,0
123,103,1,3,early,15,no,yes,TE,0,0,0,0
123,104,1,4,early,15,no,no,NE,0,0,0,0
123,105,1,5,early,30,yes,yes,TE,0,0,0,0
123,106,1,6,early,30,yes,no,NEY,0,0,0,0
123,107,1,7,early,30,no,yes,TE,0,0,0,0
123,108,1,8,early,30,no,no,NE,0,0,0,0
123,109,1,9,late,15,yes,yes,TL,0,0,0,0
123,110,1,10,late,15,yes,no,NLY,0,0,0,0
123,111,1,11,late,15,no,yes,TL,0,0,0,0
123,112,1,12,late,15,no,no,NL,0,0,0,0
123,113,1,13,late,30,yes,yes,TL,0,0,0,0
123,114,1,14,late,30,yes,no,NLY,0,0,0,0
123,115,1,15,late,30,no,yes,TL,0,0,0,0
123,116,1,16,late,30,no,no,NL,0,0,0,0
123,201,2,11,late,15,no,yes,TL,0,0,0,0
123,202,2,7,early,30,no,yes,TE,0,0,0,0
123,203,2,12,late,15,no,no,NL,0,0,0,0
123,204,2,16,late,30,no,no,NL,0,0,0,0
123,205,2,15,late,30,no,yes,TL,0,0,0,0
123,206,2,8,early,30,no,no,NE,0,0,0,0
123,207,2,2,early,15,yes,no,NEY,0,0,0,0
123,208,2,9,late,15,yes,yes,TL,0,0,0,0
123,209,2,3,early,15,no,yes,TE,0,0,0,0
123,210,2,13,late,30,yes,yes,TL,0,0,0,0
123,211,2,10,late,15,yes,no,NLY,0,0,0,0
123,212,2,14,late,30,yes,no,NLY,0,0,0,0
123,213,2,1,early,15,yes,yes,TE,0,0,0,0
123,214,2,6,early,30,yes,no,NEY,0,0,0,0
123,215,2,5,early,30,yes,yes,TE,0,0,0,0
123,216,2,4,early,15,no,no,NE,0,0,0,0
123,301,3,16,late,30,no,no,NL,0,0,0,0
123,302,3,7,early,30,no,yes,TE,0,0,0,0
123,303,3,11,late,15,no,yes,TL,0,0,0,0
123,304,3,5,early,30,yes,yes,TE,0,0,0,0
123,305,3,2,early,15,yes,no,NEY,0,0,0,0
123,306,3,6,early,30,yes,no,NEY,0,0,0,0
123,307,3,8,early,30,no,no,NE,0,0,0,0
123,308,3,4,early,15,no,no,NE,0,0,0,0
123,309,3,10,late,15,yes,no,NL,0,0,0,0
123,310,3,1,early,15,yes,yes,TE,0,0,0,0
123,311,3,14,late,30,yes,no,NL,0,0,0,0
123,312,3,3,early,15,no,yes,TE,0,0,0,0
123,313,3,15,late,30,no,yes,TL,0,0,0,0
123,314,3,12,late,15,no,no,NL,0,0,0,0
123,315,3,9,late,15,yes,yes,TL,0,0,0,0
123,316,3,13,late,30,yes,yes,TL,0,0,0,0
123,401,4,8,early,30,no,no,NE,0,0,0,0
123,402,4,3,early,15,no,yes,TE,0,0,0,0
123,403,4,5,early,30,yes,yes,TE,0,0,0,0
123,404,4,15,late,30,no,yes,TL,0,0,0,0
123,405,4,4,early,15,no,no,NE,0,0,0,0
123,406,4,9,late,15,yes,yes,TL,0,0,0,0
123,407,4,16,late,30,no,no,NL,0,0,0,0
123,408,4,6,early,30,yes,no,NEY,0,0,0,0
123,409,4,11,late,15,no,yes,TL,0,0,0,0
123,410,4,1,early,15,yes,yes,TE,0,0,0,0
123,411,4,2,early,15,yes,no,NEY,0,0,0,0
123,412,4,12,late,15,no,no,NL,0,0,0,0
123,413,4,7,early,30,no,yes,TE,0,0,0,0
123,414,4,13,late,30,yes,yes,TL,0,0,0,0
123,415,4,14,late,30,yes,no,NL,0,0,0,0
123,416,4,10,late,15,yes,no,NL,0,0,0,0
123,101,1,1,early,15,yes,yes,TE,0,0,0,0
130,102,1,2,early,15,yes,no,NEY,0,0,0,0
130,103,1,3,early,15,no,yes,TE,0,0,0,0
130,104,1,4,early,15,no,no,NE,0,0,0,0
130,105,1,5,early,30,yes,yes,TE,0,0,0,0
130,106,1,6,early,30,yes,no,NEY,0,0,0,0
130,107,1,7,early,30,no,yes,TE,0,0,0,0
130,108,1,8,early,30,no,no,NE,0,0,0,0
130,109,1,9,late,15,yes,yes,TL,0,0,0,0
130,110,1,10,late,15,yes,no,NL,0,0,0,0
130,111,1,11,late,15,no,yes,TL,0,0,0,0
130,112,1,12,late,15,no,no,NL,0,0,0,0
130,113,1,13,late,30,yes,yes,TL,0,0,0,0
130,114,1,14,late,30,yes,no,NL,0,0,0,0
130,115,1,15,late,30,no,yes,TL,0,0,0,0
130,116,1,16,late,30,no,no,NL,0,0,0,0
130,201,2,11,late,15,no,yes,TL,0,0,0,0
