trt,Estimate,SE,lower.CL,upper.CL
1,193.6717,0.71825,192.26178,195.08161
2,197.36152,0.76512,195.85,198.86345
3,189.87523,0.65249,188.59439,191.15606
4,194.79425,0.68311,193.45331,196.13519
5,202.59033,1.14954,200.33379,204.84687
6,NA,NA,NA,NA
7,198.17809,0.91785,196.37634,199.97983
8,201.02365,1.03647,198.98907,203.05823
9,203.50864,0.88199,201.77729,205.23999
10,NA,NA,NA,NA
11,NA,NA,NA,NA
12,205.03796,1.06936,202.93882,207.13711
13,NA,NA,NA,NA
14,NA,NA,NA,NA
15,NA,NA,NA,NA
16,NA,NA,NA,NA
